ensembl_gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,external_gene_name,gene_biotype
ENSMUSG00000109449,450.75366217729106,-6.418008670697919,0.5215137338888315,2.2882457986241203e-36,4.479927624546303e-32,Olfr1280,protein_coding
ENSMUSG00000096773,354.290064415201,3.6587561291586947,0.31838431328754774,3.753993621957511e-31,3.674784356534208e-27,Olfr675,protein_coding
ENSMUSG00000062757,313.21375961809645,-5.9854295765602945,0.5762756636299134,1.0970383316524392e-26,7.159272152363818e-23,Olfr1206,protein_coding
ENSMUSG00000066748,1049.4082108267442,3.4994440296594638,0.36847726904297956,6.183747830374577e-22,3.026635375576837e-18,Olfr145,protein_coding
ENSMUSG00000059742,1370.9664731566766,-1.4452746422408993,0.16163170517981007,3.0564651752115197e-19,1.1967895040058226e-15,Kcnh7,protein_coding
ENSMUSG00000058515,135.14677487354638,3.52468404937688,0.41220702997269554,3.4152968088935525e-18,1.1144113487419661e-14,Olfr933,protein_coding
ENSMUSG00000078624,158.4380482352916,5.122778222587475,0.6243940877665684,1.7750218746084106e-17,4.964482608726209e-14,Olfr613,protein_coding
ENSMUSG00000028565,1322.520120880807,-2.624849171849493,0.3125300632174259,2.2351315845072566e-17,5.4699257701853837e-14,Nfia,protein_coding
ENSMUSG00000044985,152.40744243698276,-3.9926313286019064,0.4914879499776486,8.866811779931689e-17,1.928827122527807e-13,Olfr124,protein_coding
ENSMUSG00000075605,145.93980305705372,-3.598047526446107,0.44190670669201576,1.0250117212904046e-16,2.0067679479423543e-13,Slurp2,protein_coding
ENSMUSG00000022054,134.5814133672598,-2.860364834593591,0.3586654887406822,6.572490864053858e-16,1.1697838739676949e-12,Nefm,protein_coding
ENSMUSG00000068647,150.70483000797495,-6.348186335708749,0.836685981955445,7.258370703872944e-16,1.184203180336871e-12,Olfr1278,protein_coding
ENSMUSG00000049648,103.64934115922483,7.1085213508117615,0.9629761129603246,1.3436978412291679e-15,2.0236089488911267e-12,Olfr273,protein_coding
ENSMUSG00000079056,300.7768647155274,-1.4891431410695892,0.19253220080893715,8.008450039384149e-15,1.1199245347933061e-11,Kcnip3,protein_coding
ENSMUSG00000075197,158.06390300351953,4.754687966167294,0.6437195762474174,1.547550932099738e-14,2.0198634765765782e-11,Olfr1046,protein_coding
ENSMUSG00000054141,519.396206801973,3.0120679984791736,0.40006269449436094,2.0022227640373743e-14,2.3386346466857038e-11,Olfr24,protein_coding
ENSMUSG00000109212,60.31969651380402,-3.9412468727058343,0.5297473806066115,2.030686944205586e-14,2.3386346466857038e-11,Olfr126,protein_coding
ENSMUSG00000045559,831.2157141415388,2.768822912506982,0.37146576017362476,4.117845731104705e-14,4.478843540198217e-11,Olfr827,protein_coding
ENSMUSG00000022686,72.91100450733369,-3.661658779558347,0.5033172043775187,8.616796799270738e-14,8.878928828216974e-11,B3gnt5,protein_coding
ENSMUSG00000094531,134.99075694076723,2.969521968383673,0.42356441543908385,9.48702540438676e-13,9.2868491683542e-10,Olfr671,protein_coding
ENSMUSG00000054938,323.0622443932082,-5.240289522573374,0.7856649538343904,1.6137696847422072e-12,1.5044944232325208e-9,Olfr1346,protein_coding
ENSMUSG00000075073,196.7806298087992,-4.876443123111711,0.7610007993320658,1.2866234198200048e-11,1.144977877874366e-8,Olfr1256,protein_coding
ENSMUSG00000070821,153.43805391672916,3.6233454224597907,0.5535193885710175,1.4922294688535304e-11,1.2702116757049748e-8,Olfr1340,protein_coding
ENSMUSG00000069170,193.12752307824172,3.0420019688449744,0.462370579436848,1.7992031564753712e-11,1.467699974894784e-8,Adgrv1,protein_coding
ENSMUSG00000061798,184.03548426956527,-4.688931743010516,0.7492121382479603,3.989411434563226e-11,3.1241878826351536e-8,Olfr1204,protein_coding
ENSMUSG00000068437,67.46018762920097,-4.986424541313634,0.8120630109075987,6.332376760010831e-11,4.7682797002881555e-8,Olfr725,protein_coding
ENSMUSG00000063844,40.718866438706904,-3.98366694087347,0.6429815974693947,1.0932181378829931e-10,7.92704618647157e-8,Olfr1276,protein_coding
ENSMUSG00000036264,252.2781455770569,-1.8835348457037284,0.2965676850921155,1.4524387799876653e-10,1.0155659440928039e-7,Fstl4,protein_coding
ENSMUSG00000049334,47.71075903280657,3.8716388762850245,0.6286627053492053,1.5115539983800276e-10,1.0204553165615234e-7,Olfr902,protein_coding
ENSMUSG00000073937,530.7589465261926,4.562613153413857,0.7547904098701708,1.6967741945109883e-10,1.107314839337871e-7,Olfr633,protein_coding
ENSMUSG00000073947,377.38881632896937,2.758757527756162,0.44457822190363,2.4585435864616033e-10,1.552689236636944e-7,Olfr615,protein_coding
ENSMUSG00000070379,79.72768881970758,4.20805780828912,0.7025567254325916,3.2509916734534805e-10,1.9889973432147574e-7,Olfr402,protein_coding
ENSMUSG00000060480,105.17469288282368,-4.421507561184946,0.7448043932679697,3.723664388221888e-10,2.209148527048731e-7,Olfr171,protein_coding
ENSMUSG00000073962,48.47191024980365,6.22330188864803,1.157000685251334,1.1906789780550323e-9,6.856209715400419e-7,Olfr576,protein_coding
ENSMUSG00000027796,164.40604825538298,-1.9690760009251473,0.32854863801700157,1.3262956887744733e-9,7.41891914137904e-7,Smad9,protein_coding
ENSMUSG00000059366,450.36833702345035,3.2061182310151928,0.5463115898346639,1.4714732528923732e-9,7.786081985169427e-7,Olfr959,protein_coding
ENSMUSG00000054406,156.199782723615,3.7241369516374894,0.6415880718794963,1.4705709699932504e-9,7.786081985169427e-7,Olfr411,protein_coding
ENSMUSG00000075141,202.32664694068544,2.3639839143638115,0.4038649847196603,2.640156752488297e-9,1.360236550005681e-6,Olfr1160,protein_coding
ENSMUSG00000063116,186.07135059618247,2.8119085925783516,0.4843716255822751,2.764908330671997e-9,1.3879839819973424e-6,Olfr410,protein_coding
ENSMUSG00000044454,331.3784389781865,1.8953659764639679,0.3231834038814387,2.8967152394858495e-9,1.417797273966349e-6,Olfr867,protein_coding
ENSMUSG00000045150,110.23173751941088,3.0060014091552114,0.5207834747513753,2.981688565319658e-9,1.4237926519958113e-6,Olfr1161,protein_coding
ENSMUSG00000047594,482.370545002761,2.7485024782116456,0.47586754992975683,3.414680262140579e-9,1.5547118644694944e-6,Olfr1122,protein_coding
ENSMUSG00000059397,136.3782639732358,4.0944666835369565,0.7301063153042121,3.3950658261523998e-9,1.5547118644694944e-6,Olfr54,protein_coding
ENSMUSG00000075383,66.15229100903524,4.364943141595407,0.7870359970429747,3.8002537114652675e-9,1.6909401627969773e-6,Olfr351,protein_coding
ENSMUSG00000093901,153.24598685332637,2.3152926184968567,0.40097836386889496,4.304549728966821e-9,1.8727661020824982e-6,Olfr893,protein_coding
ENSMUSG00000050085,377.9271635013567,3.4323570617244834,0.6081036178414234,4.66868422959899e-9,1.9735518983853914e-6,Olfr622,protein_coding
ENSMUSG00000053815,110.77767160891243,2.528806740776455,0.4405376159554307,4.737814854638543e-9,1.9735518983853914e-6,Olfr744,protein_coding
ENSMUSG00000021933,359.4709660292088,-3.59074549147226,0.6400681370972382,5.048814840103637e-9,2.0592853529072707e-6,Gucy1b2,protein_coding
ENSMUSG00000050853,231.0099361241002,2.69371897699916,0.47297864111288035,5.632185333591551e-9,2.2503453971643952e-6,Olfr958,protein_coding
ENSMUSG00000023064,71.25786809876463,-3.1227251269468073,0.5536765643987411,5.946386723950807e-9,2.328367185630178e-6,Sncg,protein_coding
ENSMUSG00000095858,56.14623575744314,5.53972560771027,1.0607304518598268,6.394170352208001e-9,2.4546091599123185e-6,Olfr104-ps,protein_coding
ENSMUSG00000045479,146.0535712973941,3.6195037395414142,0.6529979368113649,7.216427658481679e-9,2.6657211452406477e-6,Olfr459,protein_coding
ENSMUSG00000096436,549.2560119164493,1.6374268796820846,0.2873753636319845,7.171882056993815e-9,2.6657211452406477e-6,Olfr1437,protein_coding
ENSMUSG00000005087,116.15094868419632,-2.416084972520678,0.42605295384000014,7.470607952010804e-9,2.7085104163790283e-6,Cd44,protein_coding
ENSMUSG00000060254,39.47470398971512,5.957445641175956,1.1780038376678414,8.384866098783182e-9,2.9847074269450385e-6,Olfr980,protein_coding
ENSMUSG00000094520,590.5048242344815,3.284170824984633,0.5917788659949871,8.890693069507414e-9,3.0537191037687045e-6,Olfr635,protein_coding
ENSMUSG00000045733,93.57552137040452,-3.9843194024611654,0.7305593541158354,8.83443363360301e-9,3.0537191037687045e-6,Sprn,protein_coding
ENSMUSG00000094496,42.653173387002795,6.066467572730598,1.2123079232514962,9.190743906555715e-9,3.1023514517680652e-6,Olfr792,protein_coding
ENSMUSG00000050711,289.73561782558977,-1.5255387162555447,0.2723806702733691,1.0825668713056463e-8,3.532415701070324e-6,Scg2,protein_coding
ENSMUSG00000003848,491.2652163585377,1.4661596559181689,0.2625413582795971,1.0736372009967767e-8,3.532415701070324e-6,Nob1,protein_coding
ENSMUSG00000060404,111.31067087380217,-3.7983362336835738,0.7053534954563292,1.4981112483656726e-8,4.808200331230022e-6,Olfr1369-ps1,protein_coding
ENSMUSG00000063173,39.04903524201894,3.9457295676472537,0.7368045958755924,1.5597604062193382e-8,4.925320844026161e-6,Olfr811,protein_coding
ENSMUSG00000044042,409.90795892181507,-1.8101916478452411,0.3257201062141336,1.6212002394035085e-8,5.038072743974904e-6,Fmn1,protein_coding
ENSMUSG00000045994,207.15671973687995,-1.8582537554761307,0.3374396538599137,2.1323012958602313e-8,6.522842932867439e-6,B3gat1,protein_coding
ENSMUSG00000100899,159.47779821897558,2.9403983833702707,0.5473687899167925,2.9566047977175384e-8,8.905293650725225e-6,Olfr1167,protein_coding
ENSMUSG00000063350,101.08286944507732,3.6472589843823293,0.6921445105317909,3.122986442750935e-8,9.263913420633e-6,Olfr874,protein_coding
ENSMUSG00000031246,3739.706916020153,-0.48798827985530085,0.1127601212171959,3.51777773955366e-8,1.0174305169378492e-5,Sh3bgrl,protein_coding
ENSMUSG00000094380,106.7786575109314,5.130402998123352,1.0324699445182488,3.5338275182231965e-8,1.0174305169378492e-5,Olfr904,protein_coding
ENSMUSG00000085019,452.52257220165336,-1.9987246980817355,0.3698890402374495,3.6577410319403474e-8,1.0378442597583786e-5,Pard3bos2,lncRNA
ENSMUSG00000047207,120.77888961589568,3.93063963051637,0.7577689302911297,3.816388406495897e-8,1.067389317462524e-5,Olfr1495,protein_coding
ENSMUSG00000051095,53.3991544843784,4.148867646939833,0.8118176987004975,4.669069180993807e-8,1.2695977281318994e-5,Olfr986,protein_coding
ENSMUSG00000058275,61.48857445446949,4.483253685232031,0.8876373371083699,4.632431277102205e-8,1.2695977281318994e-5,Olfr412,protein_coding
ENSMUSG00000075223,38.53693558443643,3.273985508191756,0.6258186423421802,4.9906707535985926e-8,1.320312204122265e-5,Olfr987,protein_coding
ENSMUSG00000059106,153.87998374839302,3.697440461500808,0.7153689415101983,5.0578922928373615e-8,1.320312204122265e-5,Olfr961,protein_coding
ENSMUSG00000022306,104.4244676364338,-3.778822521295033,0.7321907282156697,4.931224846204946e-8,1.320312204122265e-5,Zfpm2,protein_coding
ENSMUSG00000094822,140.1177097703826,3.296089128565071,0.6338385581887933,5.772993313932047e-8,1.4871534618442319e-5,Olfr243,protein_coding
ENSMUSG00000075127,64.42363169281694,-5.871685737735415,1.2785526415599184,6.701749986906343e-8,1.7039852109565244e-5,Olfr1179,protein_coding
