ensembl_gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,external_gene_name,gene_biotype
ENSMUSG00000046678,380.5835647498019,2.212106818341928,0.25718731831417896,2.1842171530643736e-18,3.8612590831872e-14,Olfr981,protein_coding
ENSMUSG00000063230,87.162976059483,-3.554833029618992,0.519122013238691,2.3960324345995517e-13,2.1178530689425438e-9,Olfr535,protein_coding
ENSMUSG00000049648,103.64934115922483,-4.502178891540176,0.7361919685198949,6.2083935903464586e-12,3.6583993963381565e-8,Olfr273,protein_coding
ENSMUSG00000045559,831.2157141415388,-2.3912210293724563,0.3674929362040284,1.6177503866557045e-11,7.149647833824886e-8,Olfr827,protein_coding
ENSMUSG00000056564,176.2241960728262,-4.116677159339635,0.6841363525005375,2.090384771700068e-11,7.39076439882276e-8,Olfr324,protein_coding
ENSMUSG00000029570,183.86535530170883,2.007245782308209,0.3168893105123377,8.187980030779707e-11,2.4124518497353946e-7,Lfng,protein_coding
ENSMUSG00000045514,243.7489219784951,-3.3709347385914024,0.584182456043896,3.216915142709999e-10,8.124089413261052e-7,Olfr460,protein_coding
ENSMUSG00000046150,87.27555185490087,2.495293142858171,0.41928017673020046,4.705566557226564e-10,1.0398125699831399e-6,Olfr918,protein_coding
ENSMUSG00000003273,712.2177687284385,-1.1056840477898005,0.19088703726338976,2.063983676954652e-9,3.3170094037458486e-6,Car11,protein_coding
ENSMUSG00000073928,187.89077079631988,2.5326011956722243,0.4438804190783345,1.898153242649176e-9,3.3170094037458486e-6,Olfr651,protein_coding
ENSMUSG00000108674,125.44693299117684,-3.6443828437044656,0.6787181453152499,1.866814326010636e-9,3.3170094037458486e-6,Olfr1359,protein_coding
ENSMUSG00000091983,131.69435913967249,-4.259609278780827,0.8398063725853684,2.7714771605864018e-9,4.082847770403867e-6,Olfr457,protein_coding
ENSMUSG00000059136,144.65294081372278,-2.3219923824376574,0.411907550834912,3.781948380762464e-9,5.142867959624526e-6,Olfr539,protein_coding
ENSMUSG00000075196,60.35177238099702,2.6828425824582505,0.5092806462998607,1.635248953502988e-8,2.0648522142875587e-5,Olfr1047,protein_coding
ENSMUSG00000096773,354.290064415201,1.4009222860931558,0.26543793175936464,4.0131252983157446e-8,4.729601934908382e-5,Olfr675,protein_coding
ENSMUSG00000111611,40.891732194868155,-4.083213181700196,0.9566589681851012,8.164193101589251e-8,9.020412853118424e-5,Olfr157,protein_coding
ENSMUSG00000044798,147.55871653895505,2.802030422359368,0.6038213894746192,2.139923105190743e-7,2.2252682737389386e-4,Olfr923,protein_coding
ENSMUSG00000111259,209.75512912920664,2.6967687707695127,0.5793533001890767,2.3433105890222565e-7,2.23092048219642e-4,Olfr1328,protein_coding
ENSMUSG00000078624,158.4380482352916,1.6718545413178232,0.3443926261561137,2.3977536577515544e-7,2.23092048219642e-4,Olfr613,protein_coding
ENSMUSG00000058515,135.14677487354638,1.469584002220739,0.3061489453142042,2.525694507656223e-7,2.2324613753173353e-4,Olfr933,protein_coding
ENSMUSG00000070820,87.28383581435311,2.074985091491289,0.43462551054725385,2.8675628127120896e-7,2.413941685863063e-4,Olfr1339,protein_coding
ENSMUSG00000048001,73.24709880239438,2.1244630942144678,0.45430083307398966,3.892991049252678e-7,3.0146285114811874e-4,Hes5,protein_coding
ENSMUSG00000063021,937.5133564809311,1.069623076068808,0.25403460728965854,3.922188922053813e-7,3.0146285114811874e-4,H2ac15,protein_coding
