"","gene_name","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","Gnai3","ENSMUSG00000000001",316.833112354876,-0.0596983490791978,0.384002338300601,-0.155463504059356,0.876455923630791,0.999967202106179
"2","Cdc45","ENSMUSG00000000028",138.522796236244,0.0799838373202128,0.282785351553163,0.282842929737738,0.777297244235824,0.999967202106179
"3","H19","ENSMUSG00000000031",52.5960581778301,-0.919962666293894,1.02264282990352,-0.899593327594824,0.368336709354747,0.999967202106179
"4","Scml2","ENSMUSG00000000037",46.8028143833791,-0.059441230667012,0.419893366628915,-0.141562680887845,0.887425446329257,0.999967202106179
"5","Narf","ENSMUSG00000000056",564.238004719425,0.268257181922928,0.201200208204252,1.33328481276024,0.182438355692199,0.999967202106179
"6","Cav2","ENSMUSG00000000058",9.80782004177036,0.177517597867241,0.930646374371961,0.190746563631151,0.848724155897102,0.999967202106179
"7","Klf6","ENSMUSG00000000078",599.580209427456,0.34010478745108,0.27376870694427,1.2423070234989,0.214123304970308,0.999967202106179
"8","Scmh1","ENSMUSG00000000085",818.541573772831,0.320463002370273,0.308172557736045,1.03988169720405,0.298394866813445,0.999967202106179
"9","Cox5a","ENSMUSG00000000088",1774.32472767545,0.00922557690701289,0.416270787397599,0.0221624413394186,0.982318377695714,0.999967202106179
"10","Tbx2","ENSMUSG00000000093",77.6694325753906,0.0284320961135533,0.476905826602205,0.0596178417783706,0.952460007959759,0.999967202106179
"11","Tbx4","ENSMUSG00000000094",1.98849467532792,2.66273916208819,1.88548818325004,1.41222797668155,0.157882845412226,NA
"12","Ngfr","ENSMUSG00000000120",18.3635090971055,-0.710517892754618,0.790038480604735,-0.899345930859915,0.368468429439662,0.999967202106179
"13","Wnt3","ENSMUSG00000000125",9.61265184922847,-1.02827917286063,0.825122506606949,-1.24621394353803,0.2126858613527,0.999967202106179
"14","Wnt9a","ENSMUSG00000000126",8.50776443751096,-2.56650305964733,1.1135208793217,-2.30485400615991,0.0211747512612903,0.386636043595251
"15","Fer","ENSMUSG00000000127",1092.77685773036,-0.151066395086376,0.241295088524998,-0.626064939861906,0.53127234738875,0.999967202106179
"16","Xpo6","ENSMUSG00000000131",1631.25679299572,-0.00483367490061446,0.282186545048615,-0.017129359940892,0.986333416500031,0.999967202106179
"17","Tfe3","ENSMUSG00000000134",1119.03432534782,0.181061960652005,0.356325128392444,0.508136940745278,0.611357310376752,0.999967202106179
"18","Axin2","ENSMUSG00000000142",163.818320131962,0.380200087972302,0.405554640947312,0.937481783180225,0.348510789979141,0.999967202106179
"19","Brat1","ENSMUSG00000000148",310.694608861541,0.139472797604292,0.388000228294544,0.359465761701597,0.719246686697105,0.999967202106179
"20","Gna12","ENSMUSG00000000149",907.415733395965,0.040116664405355,0.393992756943997,0.101820817003134,0.918898901945476,0.999967202106179
"21","Slc22a18","ENSMUSG00000000154",11.2899187433544,0.641735994334255,1.2431234122176,0.516228709094512,0.60569468119818,0.999967202106179
"22","Igsf5","ENSMUSG00000000159",2.29949792372185,-0.570510293541692,2.11253281447644,-0.27005984931083,0.787114210385601,NA
"23","Pih1d2","ENSMUSG00000000167",254.326185583125,-0.297514373615019,0.296821489579853,-1.00233434592673,0.316182139651212,0.999967202106179
"24","Dlat","ENSMUSG00000000168",963.113350044492,0.0877963537199095,0.269722403134684,0.325506345411245,0.744797880949191,0.999967202106179
"25","Sdhd","ENSMUSG00000000171",970.165585146153,0.0020011177101415,0.259966567527675,0.00769759638392144,0.993858267342708,0.999967202106179
"26","Fgf23","ENSMUSG00000000182",3.86249172749561,-1.7473905776772,1.21959985100387,-1.43275729022014,0.151927210788399,0.999967202106179
"27","Ccnd2","ENSMUSG00000000184",90.3498977079914,0.415165470551434,0.909264596226022,0.456594782502929,0.647962330065266,0.999967202106179
"28","Gpr107","ENSMUSG00000000194",1251.96111447216,0.0200001621815663,0.232795795771658,0.0859129011126293,0.931535655826603,0.999967202106179
