N_unmapped	1641583	1641583	1641583
N_multimapping	2406752	2406752	2406752
N_noFeature	21762194	22534514	42422658
N_ambiguous	1457641	379295	142807
ENSMUSG00000102693	4	0	4
ENSMUSG00000064842	0	0	0
ENSMUSG00000051951	4154	4136	18
ENSMUSG00000102851	55	0	55
ENSMUSG00000103377	933	931	2
ENSMUSG00000104017	778	777	1
ENSMUSG00000103025	180	227	1
ENSMUSG00000089699	0	0	119
ENSMUSG00000103201	247	318	0
ENSMUSG00000103147	181	2	179
ENSMUSG00000103161	717	715	2
ENSMUSG00000102331	510	509	1
ENSMUSG00000102348	12	12	0
ENSMUSG00000102592	0	0	0
ENSMUSG00000088333	0	0	0
ENSMUSG00000102343	0	0	0
ENSMUSG00000025900	11	4	7
ENSMUSG00000102948	7	7	0
ENSMUSG00000104123	1	1	0
ENSMUSG00000025902	1	1	0
ENSMUSG00000104238	0	0	0
ENSMUSG00000102269	0	0	0
ENSMUSG00000096126	0	0	0
ENSMUSG00000103003	0	0	0
ENSMUSG00000104328	0	0	0
ENSMUSG00000102735	0	0	0
ENSMUSG00000098104	5	5	0
ENSMUSG00000102175	2	2	0
ENSMUSG00000088000	2	2	0
ENSMUSG00000103265	5	4	1
ENSMUSG00000103922	33	9	24
ENSMUSG00000033845	438	430	8
ENSMUSG00000102275	10	10	0
ENSMUSG00000025903	116	103	13
ENSMUSG00000104217	0	0	0
ENSMUSG00000033813	1034	1030	4
ENSMUSG00000062588	17	5	12
ENSMUSG00000103280	155	43	112
ENSMUSG00000002459	598	445	154
ENSMUSG00000091305	15	11	4
ENSMUSG00000102653	57	47	10
ENSMUSG00000085623	156	4	152
ENSMUSG00000091665	4	5	0
ENSMUSG00000033793	1421	1415	6
ENSMUSG00000104352	0	0	0
ENSMUSG00000104046	0	0	0
ENSMUSG00000102907	1	1	0
ENSMUSG00000025905	8	8	0
ENSMUSG00000103936	0	0	0
ENSMUSG00000093015	0	0	0
ENSMUSG00000103519	0	0	0
ENSMUSG00000033774	0	0	0
ENSMUSG00000103090	0	0	0
ENSMUSG00000025907	3483	3573	31
ENSMUSG00000090031	849	844	126
ENSMUSG00000087247	0	0	0
ENSMUSG00000103355	1	0	1
