ENSMUSG00000101314	0	0	0
ENSMUSG00000016918	54	35	19
ENSMUSG00000025938	807	761	46
ENSMUSG00000104518	0	0	0
ENSMUSG00000069620	0	0	0
ENSMUSG00000099498	0	0	0
ENSMUSG00000042414	3	3	0
ENSMUSG00000005886	4886	4879	7
ENSMUSG00000103506	113	112	1
ENSMUSG00000103495	99	99	0
ENSMUSG00000099183	26	0	26
ENSMUSG00000102639	21	20	1
ENSMUSG00000104170	99	95	4
ENSMUSG00000087782	39	39	0
ENSMUSG00000103085	313	312	1
ENSMUSG00000102664	125	125	0
ENSMUSG00000101476	12	12	0
ENSMUSG00000101171	0	0	0
ENSMUSG00000025935	1347	1341	6
ENSMUSG00000025937	1199	1199	0
ENSMUSG00000102982	19	19	0
ENSMUSG00000067813	0	0	0
ENSMUSG00000077368	0	0	0
ENSMUSG00000097711	3	3	0
ENSMUSG00000102166	2	2	0
ENSMUSG00000089358	0	0	0
ENSMUSG00000104209	0	0	0
ENSMUSG00000025932	369	366	3
ENSMUSG00000095853	0	0	0
ENSMUSG00000102588	3	3	0
ENSMUSG00000054493	1	2	1
ENSMUSG00000025930	0	1	1
ENSMUSG00000103492	0	0	0
ENSMUSG00000081201	0	0	0
ENSMUSG00000082193	51	51	0
ENSMUSG00000032769	11	10	1
ENSMUSG00000088159	0	0	0
ENSMUSG00000073737	5	5	0
ENSMUSG00000092083	596	596	0
ENSMUSG00000102937	74	74	0
ENSMUSG00000104149	21	21	0
ENSMUSG00000088829	0	0	0
ENSMUSG00000077377	1	1	0
ENSMUSG00000101652	2	0	2
ENSMUSG00000100814	0	0	0
ENSMUSG00000025925	421	420	1
ENSMUSG00000104379	14	50	0
ENSMUSG00000032719	5	0	41
ENSMUSG00000088943	0	0	0
ENSMUSG00000100652	2	2	0
ENSMUSG00000067795	60	60	0
ENSMUSG00000043716	2786	2782	4
ENSMUSG00000025921	125	125	0
ENSMUSG00000104165	0	0	0
ENSMUSG00000100868	19	0	19
ENSMUSG00000025920	2142	2135	7
ENSMUSG00000089982	21	0	21
ENSMUSG00000025939	1406	1540	3
ENSMUSG00000102457	74	8	203
ENSMUSG00000079658	817	811	6
ENSMUSG00000097744	2	2	0
ENSMUSG00000100959	0	0	0
ENSMUSG00000025940	244	242	2
ENSMUSG00000025779	54	53	1
ENSMUSG00000100093	0	0	0
ENSMUSG00000091020	2	2	0
ENSMUSG00000101640	4	1	55
ENSMUSG00000104133	6	0	6
ENSMUSG00000042686	565	616	1
ENSMUSG00000100110	0	0	0
ENSMUSG00000025777	3006	3003	3
ENSMUSG00000099899	8	8	0
ENSMUSG00000100272	0	0	0
ENSMUSG00000100398	0	0	0
ENSMUSG00000101589	5	5	0
ENSMUSG00000102048	0	0	0
ENSMUSG00000089534	0	0	0
